id;title;artist;year;url
1;Forever Young;Alphaville;1984;https://www.youtube.com/watch?v=t1TcDHrkQYg
2;Forever Young (Special Dance Mix);Alphaville;1984;https://www.youtube.com/watch?v=-5Yx2TnN9mc
3;Forever Young;Laura Branigan;1985;https://www.youtube.com/watch?v=-ELgvmeGYlo
4;Forever Young;Harry Holland and Dieter Reith;1985;https://www.youtube.com/watch?v=ViBh03zQZvI
5;Forever Young;Tracy Huang;1986;https://www.youtube.com/watch?v=XaGjHw5p8VM
6;Für Immer Punk;Die Goldenen Zitronen;1987;https://www.youtube.com/watch?v=6Ah_WAHZNYg
7;Forever Young;Wayne Wonder;1991;https://www.youtube.com/watch?v=ebgSXbNhReY
8;Forever Young (International Club Mix);DJ Space'C;1992;https://www.youtube.com/watch?v=ZUGe2Ov90GE
9;Forever Young;Emil Wakin Chau;1992;https://www.youtube.com/watch?v=9g6aZXePrhI
10;Forever Young;Axel Rudi Pell;1993;https://www.youtube.com/watch?v=tw-6lDnzBPo
11;Per Sempre Stronzo;Pizza E Fichi;1993;https://www.youtube.com/watch?v=dpBXQkJQ5Ig
12;Forever Young;Interactive;1994;https://www.youtube.com/watch?v=ygU0edyCQjo
13;Forever Young;Temperance;1995;https://www.youtube.com/watch?v=5nThvWUOW40
14;Forever Young;DJ Company;1997;https://www.youtube.com/watch?v=3jkLgi7j8x8
15;Forever Young;Dune feat. The London Session Orchestra;1998;https://www.youtube.com/watch?v=Ar1wOk4fhzg
16;Forever Young;Stoned;1999;https://www.youtube.com/watch?v=eKQxHEw3Xf0
17;Forever Young;Not Available;1999;https://www.youtube.com/watch?v=l4T5RCG2HUM
18;Forever Young;B-Charme;1999;https://www.youtube.com/watch?v=x3zP2nrmSRs
19;Forever Young (Unplugged Version);Alphaville;1999;https://www.youtube.com/watch?v=OulaxwdfP2s
20;Forever Young;Jamaica Soundsystem;2000;https://www.youtube.com/watch?v=vEKvvKfzbxo
21;Für Immer Jung;Karel Gott;2000;https://www.youtube.com/watch?v=Cy60mNN3Tnc
22;Forever Young;Paul Michiels;2000;https://www.youtube.com/watch?v=ugpyBuZ6u0c
23;Forever Young;Emmerson Nogueira;2001;https://www.youtube.com/watch?v=BwkEbatB-wM
24;Forever Young (Trance Mix);DJ Miko;2001;https://www.youtube.com/watch?v=s0cu4rhVaO0
25;Forever Young;Nabby Clifford;2001;https://www.youtube.com/watch?v=dWmaOYSsysU
26;Forever Young (F.A.F.'s Diamonds in the Sun Remix);Alphaville;2001;https://www.youtube.com/watch?v=L-XE-dTNjwQ
27;Forever Young;Forever Young;2003;https://www.youtube.com/watch?v=Z7uI6njsQfQ
28;Forever Young;Skam;2005;https://www.youtube.com/watch?v=cGRSMIJkPM4
29;Forever Young;Tune Up!;2005;https://www.youtube.com/watch?v=I3QG_hG2TpU
30;Forever Young;Gregorian;2006;https://www.youtube.com/watch?v=se6akxRN74k
